sim_n,KO,GME,AAPL,JNJ,JPM,returns,volatility,sharpe_ratio
0,0.06364042079768462,0.15660581656290315,0.2025677970303659,0.16713051336994622,0.4100554522391001,1.6225694417481453,0.017276979980530866,92.46809590266466
1,0.27274359399814685,0.22787604095272643,0.06656382462150588,0.15271505905444435,0.2801014813731766,1.430466087204557,0.022206589312337256,63.29049758324327
2,0.16482240124768435,0.046752413681030745,0.36494728098433454,0.37203113355658307,0.05144677053036718,1.501252622635854,0.009963613753896079,148.16437681143492
3,0.27293216709438345,0.2616243912423378,0.06314850550645382,0.23569166756443977,0.16660326859238525,1.4767487275798388,0.024869682847434144,58.37423567022363
4,0.2636334118886677,0.286004553863329,0.23556633434319557,0.012111184441194293,0.20268451546361352,2.1035900640196674,0.027364907156075837,75.95823556661173
5,0.3202193099160796,0.3448361189116826,0.25193911845977934,0.032596043046478916,0.05040940966597937,2.286587998394662,0.03254339440506832,69.49453306083035
6,0.18928248020748017,0.4838629479902058,0.10635930892956992,0.21110088882517525,0.009394374047568843,2.321339560446714,0.044891704960224536,51.152870279294206
7,0.21046486032217165,0.03919082798443037,0.30849533146752856,0.3669334997915322,0.07491548043433727,1.324884695011401,0.009064193177299376,143.40875901308783
8,0.08521655268622227,0.039011492739189184,0.2942438029514184,0.18757378912562928,0.3939543624975408,1.4556701740456786,0.010812218463967202,132.31976201863938
9,0.20404587198664162,0.17120955250684472,0.24875902044103787,0.2391756789318618,0.136809876133614,1.6704849030176476,0.017279613305426086,95.22695178027729
10,0.24882926010775427,0.25993312193739876,0.244097645768954,0.12629198484726092,0.12084798733863195,1.9813735491448008,0.024889664904920773,78.60184364145533
11,0.41582020311233914,0.1816797446021134,0.06861177361922895,0.0038702369760698478,0.3300180416902488,1.3162440158700615,0.01891478127218788,68.26639955750876
12,0.15450914875138277,0.23411828324014036,0.2428942607763853,0.1243123054679697,0.24416600176412193,1.9430704221707054,0.022843799039236105,83.96459883385691
13,0.19529542991159804,0.2780233840533212,0.28227792622826603,0.1334673789674108,0.110935880839404,2.148989549523901,0.026565780336648217,79.95208582650966
14,0.20125762231551744,0.2459592941711864,0.22690780123245652,0.1920456313143841,0.13382965096645558,1.879252348308286,0.023596312060442368,78.58229470599414
15,0.26275173531994284,0.23667327430427285,0.11697188090431189,0.2392021894346613,0.14440092003681113,1.5308503890526066,0.022645456646902092,66.49679944778714
16,0.2595599762811417,0.2730968104729325,0.027284587615585068,0.10441420289520836,0.3356444227351324,1.511595700251771,0.02637346707238906,56.36709410148503
